player_name,pitch_type_full
"Abbott, Andrew",['Sweeper' 'Changeup' 'Curveball' 'Four-Seam Fastball' 'Slider']
"Abney, Alaska",['Four-Seam Fastball' 'Sinker' 'Curveball']
"Abreu, Bryan",['Four-Seam Fastball' 'Slider' 'Changeup' 'Sinker']
"Adam, Jason",['Changeup' 'Sweeper' 'Slider' 'Four-Seam Fastball' 'Cutter' 'Sinker']
"Adams, Austin",['Slider' 'Four-Seam Fastball' 'Sinker']
"Adcock, Ty",['Cutter' 'Four-Seam Fastball' 'Slider' 'Sinker']
"Adon, Joan",['Curveball' 'Four-Seam Fastball' 'Sinker' 'Changeup' 'Slider']
"Adón, Melvin",['Sinker' 'Four-Seam Fastball' 'Cutter']
"Agnos, Zach",['Four-Seam Fastball' 'Cutter' 'Changeup' 'Sinker' 'Slider']
"Aguiar, Julian",['Sinker' 'Changeup' 'Slider' 'Curveball' 'Four-Seam Fastball']
"Akin, Keegan",['Slider' 'Four-Seam Fastball' 'Changeup']
"Alcala, Jorge",['Slider' 'Sinker' 'Four-Seam Fastball' 'Changeup']
"Aldegheri, Sam",['Four-Seam Fastball' 'Changeup' 'Curveball' 'Slider']
"Alexander, Scott",['Sinker' 'Slider' 'Changeup']
"Alexander, Tyler",['Four-Seam Fastball' 'Cutter' 'Sinker' 'Sweeper' 'Changeup' 'Slider']
"Alford, Peyton",['Slider' 'Four-Seam Fastball']
"Allard, Kolby",['Four-Seam Fastball' 'Curveball' 'Changeup' 'Cutter' 'Sinker']
"Allen, Logan","['Sinker' 'Sweeper' 'Cutter' 'Four-Seam Fastball' 'Changeup' 'Splitter'
 'Curveball']"
"Almonte, Yency",['Sweeper' 'Four-Seam Fastball' 'Sinker' 'Changeup' 'Cutter' 'Slider']
"Altavilla, Dan",['Four-Seam Fastball' 'Slider' 'Changeup']
"Alvarado, Elvis",['Four-Seam Fastball' 'Slider' 'Sinker']
"Alvarado, José",['Sinker' 'Cutter' 'Four-Seam Fastball' 'Curveball']
"Alvarez, Eddy",['Changeup' 'Slider' 'Curveball']
"Alvarez, Nelson L.",['Sinker' 'Curveball' 'Cutter' 'Slider']
"Alzolay, Adbert",['Slider' 'Cutter' 'Changeup' 'Four-Seam Fastball' 'Sinker']
"Anderson, Chase",['Cutter' 'Four-Seam Fastball' 'Changeup' 'Sweeper' 'Curveball' 'Sinker']
"Anderson, Drew",['Four-Seam Fastball' 'Slider' 'Changeup' 'Curveball']
"Anderson, Grant",['Four-Seam Fastball' 'Changeup' 'Slider' 'Cutter' 'Sinker']
"Anderson, Justin",['Slider' 'Four-Seam Fastball' 'Sinker' 'Cutter']
"Anderson, Nick",['Changeup' 'Four-Seam Fastball' 'Sinker' 'Curveball']
"Anderson, Shaun",['Sweeper' 'Slider' 'Four-Seam Fastball' 'Changeup' 'Sinker']
"Anderson, Tyler",['Four-Seam Fastball' 'Changeup' 'Cutter' 'Slider' 'Sinker' 'Curveball']
"Andrews, Clayton",['Changeup' 'Sinker' 'Four-Seam Fastball' 'Slider']
"Andriese, Matt",['Four-Seam Fastball' 'Curveball' 'Cutter' 'Sinker' 'Changeup']
"Antone, Tejay",['Sinker' 'Slider' 'Four-Seam Fastball' 'Curveball']
"Arias, Luarbert",['Four-Seam Fastball' 'Slider']
"Arias, Michael",['Sinker' 'Slider' 'Curveball' 'Four-Seam Fastball' 'Changeup']
"Armstrong, Shawn",['Cutter' 'Sinker' 'Slurve' 'Four-Seam Fastball' 'Sweeper']
"Arrighetti, Spencer","['Four-Seam Fastball' 'Cutter' 'Curveball' 'Changeup' 'Sweeper' 'Sinker'
 'Slider']"
"Ash, Konnor",['Four-Seam Fastball' 'Changeup' 'Slider']
